Epochs,Activation Function,Number of LSTM Units,Number of Hidden Layers,Dropout Rate,MSE,RMSE,MAE,R2
2500,relu,32,2,0.2,0.849859527,0.92187826,0.757240597,0.777478671
2600,relu,32,2,0.2,0.827501328,0.909671,0.730418412,0.783332787
2700,relu,32,2,0.2,0.972432833,0.98612009,0.801295421,0.745384926
2800,relu,32,2,0.2,0.82038474,0.905750926,0.728807309,0.785196145
2900,relu,32,2,0.2,0.894835229,0.945957308,0.778135877,0.765702545
3000,relu,32,2,0.2,0.860391701,0.927573016,0.763705937,0.774721
3500,relu,32,2,0.2,0.914273144,0.956176314,0.772459238,0.760613056
3600,relu,32,2,0.2,0.890790721,0.943817102,0.760246766,0.766761531
3700,relu,32,2,0.2,0.858657512,0.926637746,0.749645862,0.775175068
3800,relu,32,2,0.2,1.022604456,1.01123907,0.814948454,0.732248336
3900,relu,32,2,0.2,0.864091711,0.929565335,0.74517477,0.773752215
4000,relu,32,2,0.2,0.915472001,0.95680301,0.771100317,0.760299156
4100,relu,32,2,0.2,0.976361062,0.988109843,0.795893638,0.744356386
4200,relu,32,2,0.2,1.013517586,1.006736105,0.815958537,0.734627579
4300,relu,32,2,0.2,0.944238983,0.971719601,0.777226319,0.752767008
4400,relu,32,2,0.2,0.913658408,0.955854805,0.771016604,0.760774014
4500,relu,32,2,0.2,0.831295484,0.91175407,0.743274641,0.782339352
4600,relu,32,2,0.2,1.076664676,1.037624535,0.82455594,0.718093583
4700,relu,32,2,0.2,0.911785684,0.954874695,0.790940715,0.761264355
4800,relu,32,2,0.2,0.91335819,0.95569775,0.771927525,0.760852621
4900,relu,32,2,0.2,0.901789878,0.949626178,0.782327272,0.763881588
5000,relu,32,2,0.2,0.797163189,0.892839957,0.714326373,0.791276315
5500,relu,32,2,0.2,1.124133888,1.060251804,0.85326629,0.705664573
6000,relu,32,2,0.2,0.81571371,0.903168705,0.729608778,0.786419175
6500,relu,32,2,0.2,1.033186994,1.016458063,0.800862675,0.729477478
7000,relu,32,2,0.2,0.901127679,0.949277451,0.79214341,0.764054973
50,relu,64,2,0.2,0.872764856,0.934218848,0.741460139,0.771481298
100,relu,64,2,0.2,0.885062915,0.940777825,0.751406934,0.76826126
150,relu,64,2,0.2,0.88796659,0.942319792,0.753565182,0.767500982
200,relu,64,2,0.2,0.839276081,0.916120124,0.761180912,0.780249767
250,relu,64,2,0.2,0.862367136,0.928637247,0.746890517,0.774203765
300,relu,64,2,0.2,0.891957194,0.944434854,0.75511051,0.76645611
350,relu,64,2,0.2,0.842886186,0.918088332,0.743334562,0.779304522
400,relu,64,2,0.2,0.856853212,0.92566366,0.75117436,0.775647493
450,relu,64,2,0.2,0.856882481,0.92567947,0.735380822,0.775639829
500,relu,64,2,0.2,0.788483592,0.887965986,0.718468222,0.79354892
550,relu,64,2,0.2,0.838930738,0.915931623,0.750649997,0.780340189
600,relu,64,2,0.2,0.908249533,0.953021266,0.761561044,0.762190237
650,relu,64,2,0.2,0.847373804,0.920529089,0.735913139,0.778129516
700,relu,64,2,0.2,0.877424827,0.936709575,0.7645836,0.770261164
750,relu,64,2,0.2,0.948085593,0.973696869,0.789926899,0.751759839
800,relu,64,2,0.2,1.259438338,1.122247004,0.88852693,0.670237394
850,relu,64,2,0.2,0.87271282,0.934190997,0.747284461,0.771494923
900,relu,64,2,0.2,0.870959617,0.933252172,0.773390916,0.77195397
950,relu,64,2,0.2,0.859955481,0.927337846,0.746660811,0.774835216
1000,relu,64,2,0.2,0.83582741,0.914235971,0.725962624,0.781152743
1100,relu,64,2,0.2,0.90918908,0.953514069,0.779510286,0.761944232
1200,relu,64,2,0.2,0.843471829,0.918407224,0.745322291,0.779151182
1300,relu,64,2,0.2,0.90705483,0.952394262,0.764620299,0.762503049
1400,relu,64,2,0.2,0.864742237,0.929915177,0.751526641,0.773581885
1500,relu,64,2,0.2,0.903698689,0.95063068,0.77636669,0.763381798
1600,relu,64,2,0.2,0.876400437,0.936162612,0.754163067,0.770529383
1700,relu,64,2,0.2,0.816733383,0.903733026,0.72380989,0.786152191
1800,relu,64,2,0.2,0.897958498,0.947606721,0.763588561,0.76488477
1900,relu,64,2,0.2,0.859370179,0.927022211,0.741072115,0.774988468
2000,relu,64,2,0.2,0.898920103,0.948113972,0.763087327,0.76463299
2100,relu,64,2,0.2,0.838691672,0.915801109,0.735651901,0.780402785
2200,relu,64,2,0.2,0.826828215,0.909300948,0.745668462,0.78350903
2300,relu,64,2,0.2,0.856405796,0.925421956,0.726598963,0.775764641
2400,relu,64,2,0.2,0.912745662,0.955377236,0.777491679,0.761013001
